id,code,name,name_kana,birthday,hire_date,department_id,office_facilities_id,note,created_at,updated_at,deleted_at
1,1,堀口(崇),ﾎﾘｸﾞﾁ,,,1,1,,,,
2,10,岩川,ｲﾜｶﾞﾜ,,,2,2,,,,
3,20,福田,ﾌｸﾀﾞ,,,2,3,,,,
4,30,宮原,ﾐﾔﾊﾗ,,,3,10,,,,
5,80,蓑田,ﾐﾉﾀﾞ,,,3,9,,,,
6,90,丸山,ﾏﾙﾔﾏ,,,3,10,,,,
7,91,下平,ｼﾓﾋﾗ,,,3,16,,,,
8,93,葛井,ｶﾂｲ,,,1,1,,,,
9,94,堀口(崇),ﾎﾘｸﾞﾁ ﾀｶｼ,,,3,16,,,,
10,95,林(香),ﾊﾔｼ,,,3,15,,,,
11,96,田代,ﾀｼﾛ,,,3,10,,,,
12,97,平野,ﾋﾗﾉ,,,3,10,,,,
13,98,ラファエル,ﾗﾌｧｴﾙ,,,3,16,,,,
14,99,奈良迫,ﾅﾗｻｺ,,,3,15,,,,
15,120,大坪,ｵｵﾂﾎﾞ,,,3,11,,,,
16,170,脇,ﾜｷ,,,2,2,,,,
17,180,小野池,ｺﾉｲｹ,,,2,2,,,,
18,190,上水流,ｶﾐﾂﾞﾙ,,,2,3,,,,
19,200,津原,ﾂﾊﾞﾙ,,,2,4,,,,
20,210,石嶋,ｲｼｼﾞﾏ,,,2,4,,,,
21,220,長谷川,ﾊｾｶﾞﾜ,,,2,4,,,,
22,230,林(秀),ﾊﾔｼ,,,2,4,,,,
23,335,日高,ﾋﾀﾞｶ,,,3,12,,,,
24,345,瀬口,ｾｸﾞﾁ,,,3,12,,,,
25,346,宮富,ﾐﾔﾄﾐ,,,3,12,,,,
26,347,久保園,ｸﾎﾞｿﾞﾉ,,,3,12,,,,
27,350,島崎,ｼﾏｻﾞｷ,,,3,9,,,,
28,360,須賀,ｽｶﾞ,,,3,9,,,,
29,400,前田,ﾏｴﾀﾞ,,,3,11,,,,
30,410,小島,ｺｼﾞﾏ,,,3,11,,,,
31,430,鈴木,ｽｽﾞｷ,,,3,14,,,,
32,434,外牧,ﾄﾉﾏｷ,,,3,14,,,,
33,437,山迫,ﾔﾏｻｺ,,,3,14,,,,
34,439,末永,ｽｴﾅｶﾞ,,,3,5,,,,
35,441,吉川,ﾖｼｶﾜ,,,1,1,,,,
36,450,上野,ｳｴﾉ,,,1,1,,,,
37,470,中村,ﾅｶﾑﾗ,,,1,1,,,,
38,480,田村,ﾀﾑﾗ,,,1,1,,,,
39,510,中嶋,ﾅｶｼﾏ,,,1,1,,,,
40,520,牧本,ﾏｷﾓﾄ,,,1,1,,,,
41,540,福冨,ﾌｸﾄﾐ,,,1,1,,,,
42,550,小幡,ｵﾊﾞﾀ,,,1,1,,,,
43,560,田中,ﾀﾅｶ,,,1,1,,,,
44,580,松崎,ﾏﾂｻﾞｷ,,,1,1,,,,
45,590,堀口(奈),ﾎﾘｸﾞﾁ,,,1,1,,,,
46,610,吉井,ﾖｼｲ,,,1,1,,,,
47,620,堀口(ま),ﾎﾘｸﾞﾁ ﾏ,,,1,1,,,,
48,670,高見,ﾀｶﾐ,,,2,4,,,,
49,690,金城,ｷﾝｼﾞｮｳ,,,3,15,,,,
50,700,松元,ﾏﾂﾓﾄ,,,3,10,,,,
51,701,野村,ﾉﾑﾗ,,,3,10,,,,
52,702,堀口(里),ﾎﾘｸﾞﾁ ﾘ,,,1,1,,,,
53,703,東(妙),ﾋｶﾞｼ,,,1,1,,,,
54,705,轟原,ﾄﾄﾞﾛﾊﾗ,,,1,1,,,,
55,708,坂元,ｻｶﾓﾄ,,,3,14,,,,
56,709,小久保,ｺｸﾎﾞ,,,1,1,,,,
57,710,梶原,ｶｼﾞﾊﾗ,,,1,1,,,,
58,712,加藤,ｶﾄｳ,,,3,11,,,,
59,715,恩田,ｵﾝﾀﾞ,,,1,1,,,,
60,99999,システム管理者,,,,,,,,,
